voiced_threshold,iqr_threshold_cent,n_total,n_flagged,flag_rate,mae_unfiltered,mae_filtered,medae_filtered,mae_delta
0.3,300.0,120,20,0.16666666666666666,273.2352941176473,217.50000000000026,80.0,55.735294117647044
0.3,500.0,120,15,0.125,273.2352941176473,229.04761904761932,80.0,44.18767507002798
0.3,700.0,120,13,0.10833333333333334,273.2352941176473,230.28037383177593,80.0,42.95492028587137
0.5,300.0,120,20,0.16666666666666666,273.2352941176473,217.50000000000026,80.0,55.735294117647044
0.5,500.0,120,15,0.125,273.2352941176473,229.04761904761932,80.0,44.18767507002798
0.5,700.0,120,13,0.10833333333333334,273.2352941176473,230.28037383177593,80.0,42.95492028587137
0.7,300.0,120,24,0.2,273.2352941176473,213.6458333333336,80.0,59.5894607843137
0.7,500.0,120,19,0.15833333333333333,273.2352941176473,225.84158415841605,80.0,47.393709959231245
0.7,700.0,120,17,0.14166666666666666,273.2352941176473,227.18446601941764,80.0,46.05082809822966
