config,recording_id,offset_median_cent,contour_std,classified_type,published_type,flip
jitterU30ms-seed2,ath-1973,-30.2,0.1081,score-faithful,score-faithful,stable
jitterU30ms-seed2,hul-2012,-31.4,0.0541,score-faithful,score-faithful,stable
jitterU30ms-seed2,bou-1961,-665.2,0.1316,directed-recitation,directed-recitation,stable
jitterU30ms-seed2,bou-1977,-20.2,0.0478,score-faithful,score-faithful,stable
jitterU30ms-seed2,her-1991,-318.9,0.6374,dynamic,dynamic,stable
jitterU30ms-seed3,ath-1973,-31.4,0.0970,score-faithful,score-faithful,stable
jitterU30ms-seed3,hul-2012,-31.4,0.0541,score-faithful,score-faithful,stable
jitterU30ms-seed3,bou-1961,-665.2,0.1316,directed-recitation,directed-recitation,stable
jitterU30ms-seed3,bou-1977,-25.2,0.0499,score-faithful,score-faithful,stable
jitterU30ms-seed3,her-1991,-320.2,0.6374,dynamic,dynamic,stable
