config,recording_id,segment_id,n_kept,offset_cent,range_compression,contour_correlation
frame2048-hop128,bou-1977,seg_p07_m13,4,-55.169,1.1256,0.8660
frame2048-hop128,bou-1977,seg_p07_m18b6_m19b5,7,-30.169,1.0355,0.9710
frame2048-hop128,her-1991,seg_p07_m5,5,-360.169,0.8079,1.0000
frame2048-hop128,her-1991,seg_p07_m8,5,-290.169,0.5469,0.8333
frame2048-hop128,her-1991,seg_p07_m13,4,-350.169,0.8056,0.0000
frame2048-hop128,her-1991,seg_p07_m18b6_m19b5,4,-65.169,1.3691,-0.5000
frame2048-hop256,ath-1973,seg_p07_m5,6,-35.169,0.7765,0.9000
frame2048-hop256,ath-1973,seg_p07_m8,7,-0.169,1.1125,0.6983
frame2048-hop256,ath-1973,seg_p07_m13,4,-15.169,1.4244,0.8660
frame2048-hop256,ath-1973,seg_p07_m18b6_m19b5,6,-45.169,1.0210,0.9487
frame2048-hop256,hul-2012,seg_p07_m5,5,19.831,0.7297,0.8000
frame2048-hop256,hul-2012,seg_p07_m8,5,-0.169,1.1455,0.9487
frame2048-hop256,hul-2012,seg_p07_m13,4,-60.169,1.0403,0.8660
frame2048-hop256,hul-2012,seg_p07_m18b6_m19b5,6,-80.169,1.4305,0.9000
frame2048-hop256,bou-1961,seg_p07_m5,5,-535.169,0.7097,1.0000
frame2048-hop256,bou-1961,seg_p07_m8,5,-790.169,0.7517,0.6325
frame2048-hop256,bou-1961,seg_p07_m13,4,-400.169,0.9418,0.8660
frame2048-hop256,bou-1961,seg_p07_m18b6_m19b5,6,-922.669,1.3172,0.8208
frame2048-hop256,bou-1977,seg_p07_m5,6,-10.169,0.9973,1.0000
frame2048-hop256,bou-1977,seg_p07_m8,7,4.831,1.0388,0.9411
frame2048-hop256,bou-1977,seg_p07_m13,4,-55.169,1.1185,0.8660
frame2048-hop256,bou-1977,seg_p07_m18b6_m19b5,6,-35.169,1.0270,0.9487
frame2048-hop256,her-1991,seg_p07_m5,5,-360.169,0.8077,1.0000
frame2048-hop256,her-1991,seg_p07_m8,5,-290.169,0.5469,0.8333
frame2048-hop256,her-1991,seg_p07_m13,4,-350.169,0.8056,0.0000
frame2048-hop256,her-1991,seg_p07_m18b6_m19b5,4,-65.169,1.3691,-0.5000
frame2048-hop512,ath-1973,seg_p07_m5,6,-37.669,0.7808,0.9000
frame2048-hop512,ath-1973,seg_p07_m8,7,-0.169,1.1557,0.6983
frame2048-hop512,ath-1973,seg_p07_m13,4,-20.169,1.4345,0.8660
frame2048-hop512,ath-1973,seg_p07_m18b6_m19b5,7,-30.169,0.8575,0.9710
frame2048-hop512,hul-2012,seg_p07_m5,5,19.831,0.7330,0.8000
frame2048-hop512,hul-2012,seg_p07_m8,5,-0.169,1.1467,0.9487
frame2048-hop512,hul-2012,seg_p07_m13,4,-60.169,1.0403,0.8660
frame2048-hop512,hul-2012,seg_p07_m18b6_m19b5,7,-60.169,1.4408,0.8827
frame2048-hop512,bou-1961,seg_p07_m5,5,-530.169,0.6738,1.0000
frame2048-hop512,bou-1961,seg_p07_m8,4,-795.169,0.7606,0.8660
frame2048-hop512,bou-1961,seg_p07_m13,4,-400.169,0.9418,0.8660
frame2048-hop512,bou-1961,seg_p07_m18b6_m19b5,6,-915.169,1.3000,0.8208
frame2048-hop512,bou-1977,seg_p07_m5,6,-10.169,0.9843,1.0000
frame2048-hop512,bou-1977,seg_p07_m8,7,9.831,1.0192,0.9411
frame2048-hop512,bou-1977,seg_p07_m13,4,-57.669,1.1248,0.8660
frame2048-hop512,bou-1977,seg_p07_m18b6_m19b5,6,-30.169,1.0494,0.9487
frame2048-hop512,her-1991,seg_p07_m5,6,-375.169,0.7441,1.0000
frame2048-hop512,her-1991,seg_p07_m8,5,-290.169,0.5469,0.8333
frame2048-hop512,her-1991,seg_p07_m13,4,-350.169,0.8056,0.0000
