recording_id,segment_id,n_notes,n_kept,performer_offset_cent,range_compression,std_est_cent,std_ref_cent,contour_correlation,contour_pval,abs_pitch_fidelity,range_fidelity
ath-1973,seg_p07_m13,4,4,-15.00000000000091,1.4244004586725831,390.08813106783947,273.8612787525831,0.8660254037844387,0.33333333333333326,15.00000000000091,0.42440045867258314
ath-1973,seg_p07_m18b6_m19b5,7,7,-30.00000000000091,0.9377313379171031,339.95647980773236,362.5307868699863,0.9710083124552245,0.001248592903197677,30.00000000000091,0.06226866208289694
ath-1973,seg_p07_m5,6,6,-50.0,0.7881231870048858,256.05582073706796,324.89314482696545,0.8999999999999998,0.03738607346849874,50.0,0.21187681299511418
ath-1973,seg_p07_m8,7,7,-10.00000000000091,1.0488449635555088,121.7265252061994,116.05769149479943,0.9411239481143202,0.005097540564861477,10.00000000000091,0.048844963555508825
bou-1961,seg_p07_m13,4,4,-400.00000000000045,0.941762531993425,257.9122912929898,273.8612787525831,0.8660254037844387,0.33333333333333326,400.00000000000045,0.05823746800657503
bou-1961,seg_p07_m18b6_m19b5,7,6,-925.0,1.2998269508859575,479.0586834848334,368.5557397915997,0.8207826816681233,0.08858700531354384,925.0,0.29982695088595746
bou-1961,seg_p07_m5,6,5,-530.0,0.6728846280215783,222.76444958745117,331.058907144937,1.0,0.0,530.0,0.32711537197842167
bou-1961,seg_p07_m8,7,4,-805.0,0.7224956747275406,106.85855136581297,147.9019945774904,0.8660254037844387,0.33333333333333326,805.0,0.2775043252724594
bou-1977,seg_p07_m13,4,4,-55.0,1.1184811129384344,306.30866784993196,273.8612787525831,0.8660254037844387,0.33333333333333326,55.0,0.11848111293843444
bou-1977,seg_p07_m18b6_m19b5,7,7,-40.00000000000091,1.033326654623444,374.6127251943677,362.5307868699863,0.9710083124552245,0.001248592903197677,40.00000000000091,0.033326654623444085
bou-1977,seg_p07_m5,6,6,-9.999999999999545,0.9804402877762297,318.5383284106743,324.89314482696545,0.9999999999999999,1.4042654220543602e-24,9.999999999999545,0.019559712223770287
bou-1977,seg_p07_m8,7,7,0.0,1.04156060066061,120.88111886460705,116.05769149479943,0.9411239481143202,0.005097540564861477,0.0,0.04156060066060996
her-1991,seg_p07_m13,4,4,-350.00000000000045,0.8056053624449143,220.6241147291024,273.8612787525831,0.0,1.0,350.00000000000045,0.19439463755508568
her-1991,seg_p07_m18b6_m19b5,7,4,-65.00000000000091,1.3691424628545166,615.1625801363409,449.30501889028574,-0.5,0.6666666666666666,65.00000000000091,0.3691424628545166
her-1991,seg_p07_m5,6,5,-359.9999999999991,0.8077248014260253,179.8888545741512,222.71057451320087,1.0,0.0,359.9999999999991,0.19227519857397468
her-1991,seg_p07_m8,7,5,-290.0000000000009,0.5468920451889064,72.55342858886772,132.664991614216,0.9486832980505139,0.05131670194948613,290.0000000000009,0.45310795481109356
hul-2012,seg_p07_m13,4,4,-60.000000000001364,1.0535653752852718,288.5307609250696,273.8612787525831,0.8660254037844387,0.33333333333333326,60.000000000001364,0.05356537528527183
hul-2012,seg_p07_m18b6_m19b5,7,6,-85.00000000000091,1.4302618134320126,545.6698228375426,381.5174380753199,0.8999999999999998,0.03738607346849874,85.00000000000091,0.43026181343201264
hul-2012,seg_p07_m5,6,5,20.0,0.7264709216479351,229.73027662891985,316.22776601683796,0.7999999999999999,0.2000000000000001,20.0,0.27352907835206486
hul-2012,seg_p07_m8,7,5,0.0,1.1706641471637165,155.30614926653777,132.664991614216,0.9486832980505139,0.05131670194948613,0.0,0.17066414716371647
