recording_id,segment_id,source,bar_number,note_index,ref_pitch_name,ref_pitch_cent,voiced_ratio,f0_iqr_cent,est_cent_median,error_cent,abs_error_cent,pitch_class_error,is_pyin_unreliable,unreliable_reasons
ath-1973,seg_p07_m5,original,5,1,F4,6500.0,1.0,112.5,6559.999999999999,59.99999999999909,59.99999999999909,within,False,
ath-1973,seg_p07_m5,original,5,2,D4,6200.0,1.0,22.49999999999909,6650.0,450.0,450.0,within,False,
ath-1973,seg_p07_m5,original,5,3,E4,6400.0,1.0,380.0,6520.0,120.0,120.0,within,False,
ath-1973,seg_p07_m5,original,5,4,G#4,6800.0,1.0,25.00000000000182,6740.000000000001,-59.99999999999909,59.99999999999909,within,False,
ath-1973,seg_p07_m5,original,5,5,B4,7100.0,1.0,32.50000000000091,6869.999999999999,-230.0000000000009,230.0000000000009,within,False,
ath-1973,seg_p07_m5,original,5,6,D4,6200.0,1.0,62.49999999999727,6800.0,600.0,600.0,within,False,
ath-1973,seg_p07_m5,demucs_vocals,5,1,F4,6500.0,1.0,72.50000000000091,6495.0,-5.0,5.0,within,False,
ath-1973,seg_p07_m5,demucs_vocals,5,2,D4,6200.0,1.0,65.00000000000091,6249.999999999998,49.99999999999818,49.99999999999818,within,False,
ath-1973,seg_p07_m5,demucs_vocals,5,3,E4,6400.0,0.6964285714285714,170.0,6359.999999999999,-40.00000000000091,40.00000000000091,within,False,
ath-1973,seg_p07_m5,demucs_vocals,5,4,G#4,6800.0,0.9818181818181818,30.00000000000091,6740.000000000001,-59.99999999999909,59.99999999999909,within,False,
ath-1973,seg_p07_m5,demucs_vocals,5,5,B4,7100.0,0.7678571428571429,259.9999999999991,6839.999999999999,-260.0000000000009,260.0000000000009,within,False,
ath-1973,seg_p07_m5,demucs_vocals,5,6,D4,6200.0,0.7857142857142857,40.00000000000273,6120.0,-80.0,80.0,within,False,
ath-1973,seg_p07_m8,original,8,1,C5,7200.0,0.7948717948717948,120.00000000000091,7190.000000000001,-9.99999999999909,9.99999999999909,within,False,
ath-1973,seg_p07_m8,original,8,2,C#5,7300.0,0.4358974358974359,19.99999999999909,7280.0,-20.0,20.0,within,True,voiced_low
ath-1973,seg_p07_m8,original,8,3,C5,7200.0,0.48717948717948717,70.00000000000182,7209.999999999999,9.99999999999909,9.99999999999909,within,True,voiced_low
ath-1973,seg_p07_m8,original,8,4,D5,7400.0,0.9137931034482759,40.0,7379.999999999998,-20.00000000000182,20.00000000000182,within,False,
ath-1973,seg_p07_m8,original,8,5,C#5,7300.0,1.0,65.0,7255.0,-45.0,45.0,within,False,
ath-1973,seg_p07_m8,original,8,6,C5,7200.0,1.0,54.99999999999818,7159.999999999999,-40.00000000000091,40.00000000000091,within,False,
ath-1973,seg_p07_m8,original,8,7,A#4,7000.0,1.0,30.00000000000091,7069.999999999999,69.99999999999909,69.99999999999909,within,False,
ath-1973,seg_p07_m8,demucs_vocals,8,1,C5,7200.0,0.9914529914529915,120.0,7214.999999999999,14.99999999999909,14.99999999999909,within,False,
ath-1973,seg_p07_m8,demucs_vocals,8,2,C#5,7300.0,0.7435897435897436,59.99999999999818,7289.999999999999,-10.00000000000091,10.00000000000091,within,False,
ath-1973,seg_p07_m8,demucs_vocals,8,3,C5,7200.0,1.0,230.0,7280.0,80.0,80.0,within,False,
ath-1973,seg_p07_m8,demucs_vocals,8,4,D5,7400.0,1.0,35.00000000000091,7379.999999999998,-20.00000000000182,20.00000000000182,within,False,
ath-1973,seg_p07_m8,demucs_vocals,8,5,C#5,7300.0,1.0,70.00000000000091,7275.0,-25.0,25.0,within,False,
ath-1973,seg_p07_m8,demucs_vocals,8,6,C5,7200.0,1.0,145.0,7240.000000000001,40.00000000000091,40.00000000000091,within,False,
ath-1973,seg_p07_m8,demucs_vocals,8,7,A#4,7000.0,1.0,29.99999999999909,6959.999999999999,-40.00000000000091,40.00000000000091,within,False,
ath-1973,seg_p07_m13,original,13,1,D#4,6300.0,1.0,9.99999999999909,6349.999999999999,49.99999999999909,49.99999999999909,within,False,
ath-1973,seg_p07_m13,original,13,2,D4,6200.0,0.9411764705882353,22.50000000000182,6260.0,60.0,60.0,within,False,
ath-1973,seg_p07_m13,original,13,3,B3,5900.0,0.31386861313868614,110.0,6120.0,220.0,220.0,within,True,voiced_low
ath-1973,seg_p07_m13,original,13,4,G#3,5600.0,0.8235294117647058,762.4999999999991,5735.0,135.0,135.0,within,True,iqr_high
ath-1973,seg_p07_m13,demucs_vocals,13,1,D#4,6300.0,1.0,0.0,6359.999999999999,59.99999999999909,59.99999999999909,within,False,
ath-1973,seg_p07_m13,demucs_vocals,13,2,D4,6200.0,0.9338235294117647,40.0,6260.0,60.0,60.0,within,False,
ath-1973,seg_p07_m13,demucs_vocals,13,3,B3,5900.0,1.0,189.9999999999991,5809.999999999999,-90.00000000000091,90.00000000000091,within,False,
ath-1973,seg_p07_m13,demucs_vocals,13,4,G#3,5600.0,1.0,102.50000000000091,5380.0,-220.0,220.0,within,False,
ath-1973,seg_p07_m18b6_m19b5,original,18,3,C5,7200.0,1.0,105.0,7159.999999999999,-40.00000000000091,40.00000000000091,within,False,
ath-1973,seg_p07_m18b6_m19b5,original,19,2,B4,7100.0,1.0,54.99999999999818,7130.0,30.0,30.0,within,False,
ath-1973,seg_p07_m18b6_m19b5,original,19,3,G#4,6800.0,0.84375,395.0000000000018,6839.999999999999,39.99999999999909,39.99999999999909,within,False,
ath-1973,seg_p07_m18b6_m19b5,original,19,4,C5,7200.0,0.9052631578947369,77.49999999999818,7120.0,-80.0,80.0,within,False,
ath-1973,seg_p07_m18b6_m19b5,original,19,5,B4,7100.0,1.0,80.00000000000091,7039.999999999998,-60.00000000000182,60.00000000000182,within,False,
ath-1973,seg_p07_m18b6_m19b5,original,19,6,G#4,6800.0,1.0,255.0,6680.0,-120.0,120.0,within,False,
ath-1973,seg_p07_m18b6_m19b5,original,19,7,C#4,6100.0,0.967741935483871,410.0,6145.0,45.0,45.0,within,False,
